--- Absolute Best Parameters ---

LMS:
Best SNR: 24.6724 dB
Filter Order: 30
Optimal mu: 0.0430

NLMS:
Best SNR: 113.4538 dB
Filter Order: 30
Optimal mu: 1.0000

RLS:
Best SNR: 138.4246 dB
Filter Order: 5
Optimal lambda: 0.0010

---------------------------------
Filter Order   Best SNR (LMS)           Optimal mu (LMS)         
1              6.2706                   0.3220                   
2              9.5997                   0.2680                   
3              12.0212                  0.2160                   
4              13.8526                  0.1780                   
5              15.4448                  0.1590                   
6              16.7292                  0.1420                   
7              17.8181                  0.1270                   
8              18.7364                  0.1160                   
9              19.5044                  0.1060                   
10             20.1561                  0.0970                   
11             20.7052                  0.0900                   
12             21.2219                  0.0840                   
13             21.7042                  0.0800                   
14             22.1361                  0.0760                   
15             22.4490                  0.0700                   
16             22.8688                  0.0700                   
17             23.0529                  0.0650                   
18             23.3587                  0.0630                   
19             23.5113                  0.0600                   
20             23.7137                  0.0580                   
21             23.8551                  0.0560                   
22             23.9917                  0.0540                   
23             24.1213                  0.0520                   
24             24.2259                  0.0500                   
25             24.4016                  0.0500                   
26             24.4867                  0.0490                   
27             24.5709                  0.0480                   
28             24.6271                  0.0460                   
29             24.6394                  0.0440                   
30             24.6724                  0.0430                   

Filter Order   Best SNR (NLMS)          Optimal mu (NLMS)        
1              24.8931                  1.0000                   
2              45.9904                  1.0000                   
3              68.2775                  1.0000                   
4              82.2768                  1.0000                   
5              89.5321                  1.0000                   
6              93.5306                  1.0000                   
7              96.5955                  1.0000                   
8              99.1134                  1.0000                   
9              101.1817                 1.0000                   
10             102.9331                 1.0000                   
11             104.4089                 1.0000                   
12             105.6645                 1.0000                   
13             106.7612                 1.0000                   
14             107.7049                 1.0000                   
15             108.5355                 1.0000                   
16             109.2361                 1.0000                   
17             109.8417                 1.0000                   
18             110.3622                 1.0000                   
19             110.8221                 1.0000                   
20             111.2256                 1.0000                   
21             111.5777                 1.0000                   
22             111.8886                 1.0000                   
23             112.1658                 1.0000                   
24             112.4086                 1.0000                   
25             112.6264                 1.0000                   
26             112.8210                 1.0000                   
27             112.9985                 1.0000                   
28             113.1625                 1.0000                   
29             113.3134                 1.0000                   
30             113.4538                 1.0000                   

Filter Order   Best SNR (RLS)           Optimal lambda (RLS)     
1              20.8289                  0.0010                   
2              54.1591                  0.0010                   
3              99.9729                  0.0010                   
4              136.4171                 0.0010                   
5              138.4246                 0.0010                   
6              131.3348                 0.0030                   
7              127.1627                 0.0080                   
8              122.1882                 0.0180                   
9              120.2758                 0.0190                   
10             116.8466                 0.0400                   
11             115.7089                 0.0480                   
12             112.5687                 0.0680                   
13             112.7482                 0.0650                   
14             110.8147                 0.0840                   
15             109.9217                 0.0960                   
16             108.4281                 0.1230                   
17             108.0711                 0.1290                   
18             106.9375                 0.1590                   
19             106.9080                 0.1810                   
20             106.6058                 0.1750                   
21             106.4671                 0.2590                   
22             105.5183                 0.2050                   
23             104.8358                 0.2440                   
24             104.7676                 0.2390                   
25             105.0946                 0.2580                   
26             104.0893                 0.2650                   
27             104.3689                 0.3110                   
28             103.7902                 0.2970                   
29             104.4391                 0.3060                   
30             106.2082                 0.3150                   
